YEAR,MO,DY,T2M,T2MWET,TS              MERRA-2 Earth Skin Temperature (C),T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C),T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C),T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C),T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C),RH2M            MERRA-2 Relative Humidity at 2 Meters (%),PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day)
1990,1,1,16.94,10.68,17.23,15.29,25.4,10.11,4.41,46.31,0
1990,1,2,16.91,10.84,17.07,15.58,25.23,9.65,4.77,48.19,0
1990,1,3,17.65,11.13,17.47,15.81,26.13,10.32,4.61,44.69,0
1990,1,4,17.54,11.48,17.44,16.13,26.17,10.04,5.41,48.44,0
1990,1,5,17.73,10.79,17.23,16.37,26.23,9.86,3.84,43.5,0
1990,1,6,17.81,10.08,17.38,15.9,26.86,10.96,2.34,38,0
1990,1,7,18.41,11.08,17.58,16.86,27.04,10.19,3.75,41.06,0
1990,1,8,18.85,10.87,17.75,13.35,26.84,13.49,2.89,36.12,0
1990,1,9,18.5,10.97,17.44,13.84,26.07,12.23,3.44,38.62,0
1990,1,10,18.5,9.97,16.79,12.86,25.8,12.94,1.44,33.5,0
1990,1,11,18.02,9.18,16.83,14.29,25.26,10.97,0.33,32.19,0
1990,1,12,18.36,10.69,17.59,16.05,26.2,10.15,3.02,38.06,0
1990,1,13,19.18,12.2,18.28,14.45,26.45,11.99,5.23,41.69,0
1990,1,14,20.17,12.59,18.79,13.42,26.94,13.51,5.01,39.56,0
1990,1,15,19.47,12.9,19.38,16.27,27.76,11.5,6.34,45.75,0
1990,1,16,20.15,13.13,19.6,15.5,28.33,12.82,6.11,43.06,0
1990,1,17,20.66,13.34,19.44,13.51,27.86,14.35,6.02,40.19,0
1990,1,18,21.33,12.11,19.44,14.52,28.79,14.27,2.88,32.12,0
1990,1,19,20.49,15.25,20.71,16.97,29.67,12.7,10.01,57.69,0
1990,1,20,20.56,16.3,21.39,15.95,29.26,13.31,12.02,64.31,0.01
1990,1,21,21.16,17.3,21.96,14.91,29.3,14.4,13.42,66.38,0
1990,1,22,22.26,18.4,23.1,13.89,29.76,15.87,14.55,66.06,0
1990,1,23,22.94,18.44,23.34,14.48,30.65,16.18,13.93,62.56,0
1990,1,24,23.08,16.8,22.76,14.59,30.65,16.06,10.52,52.5,0
1990,1,25,23,16.11,22.52,15.65,30.66,15.01,9.21,44.44,0
1990,1,26,23.59,15.36,22.34,14.64,30.62,15.98,7.12,37.75,0
1990,1,27,23.43,14.44,22.12,15.09,31.11,16.02,5.44,35.5,0
1990,1,28,22.55,16.73,22.85,16.43,31.17,14.74,10.91,52.69,0
1990,1,29,23.55,17.79,24.01,17.97,32.88,14.91,12.03,56.81,0
1990,1,30,23.56,18.25,23.69,15.59,32.42,16.83,12.94,58.88,0
1990,1,31,22.93,14.19,22.31,17.07,31.65,14.58,5.45,40.44,0
1990,2,1,22.69,13.84,22.16,18.11,32.4,14.3,4.99,37.69,0
1990,2,2,22.59,16.53,22.7,15.66,31.2,15.55,10.46,53.69,0
1990,2,3,23.06,17.01,23.4,14.31,31.39,17.07,10.96,54.44,0
1990,2,4,22.02,11.68,21.13,14.61,30.15,15.55,1.34,28.38,0
1990,2,5,22.03,13.4,21.53,16.96,30.68,13.72,4.77,41.06,0
1990,2,6,22.74,15.27,23.13,14.76,31.48,16.73,7.8,49.94,0
1990,2,7,22.94,13.94,22.68,15.56,31.04,15.48,4.96,34.94,0
1990,2,8,23.37,14.13,22.5,16.45,31.33,14.87,4.89,32.81,0
1990,2,9,24.78,14.75,23.57,14.89,32.75,17.85,4.72,28.88,0
1990,2,10,24.92,16.17,25.23,16.73,33.87,17.14,7.42,36.56,0
